-3|Browser Classics
-b|Browser Classics
1 On 1 Soccer|Sports
1 On 1 Tennis|Sports
10 Bullets|Shooter
10 Minutes Till Dawn|Shooter
10-103 Null Kevin|Horror
10-Yard Fight|Sports
100 Rooms Of Enemies|Horror
100 in 1|Party
12 Mini Battles|Party
1942|Shooter
1v1.lol|Shooter
1|Browser Classics
2-3-4 Player Games|Party
20 Small Mazes|Puzzle
2048 Cupcakes|Puzzle
2048|Puzzle
2D Shooting|Shooter
2Doom|Shooter
3 Pandas Brazil|Puzzle
3 Pandas Fantasy|Puzzle
3 Pandas Japan|Puzzle
3 Pandas Night|Puzzle
3 Pandas|Puzzle
3 Slices 2|Puzzle
3D Pinball Space Cadet|Retro Arcade
3Dash Editor|Platformer
3Dash|Platformer
40xescape|Puzzle
4th And Goal|Sports
500 Caliber Contractz|Shooter
60 Seconds Burger Run|Platformer
60 Seconds Santa Run|Platformer
8 Ball Classic|Sports
8 Ball Pool|Sports
9007199254740992|Puzzle
99 Balls|Puzzle
99 Nights In The Forest|Horror
A Dance of Fire and Ice|Browser Classics
A Dark Room|Browser Classics
A Date With Death|Browser Classics
A Day In The Office|Browser Classics
A Koopa’s Revenge 2|Flash Classics
A Koopa’s Revenge|Flash Classics
A Small World Cup|Browser Classics
A Walk In The Forest (V 10)|Adventure
Abandoned 3|Flash Classics
Abandoned|Flash Classics
Absolute Madness|Action
Ace Attorney: Investigations -  Miles Edgeworth|Adventure
Ace Combat 2|Action
Ace Combat 3|Action
Ace Gangster Taxi|Flash Classics
Achievement Unlocked 2|Flash Classics
Achievement Unlocked 3|Flash Classics
Achievement Unlocked|Flash Classics
Achilles 2|Action
Achilles|Action
Advance Wars 2|Strategy
Advance Wars Dual Strike|Strategy
Advance Wars|Strategy
Advent Neon|Browser Classics
Adventure Capitalist|Browser Classics
Adventure|Adventure
Agar.io Lite|Browser Classics
Age of War 2|Strategy
Age of War|Strategy
Ages Of Empire|Strategy
Ages of Conflict|Sports
Ahoy Survival|Browser Classics
Airline Tycoon Idle|Simulation
Akumanor Gaiden|Platformer
Aladdin|Platformer
Alex Kidd in Miracle World|Platformer
Alex Kidd in the Enchanted Castle|Platformer
Alien Hominid|Platformer
Alien Sky Invasion|Browser Classics
Alien Transporter|Flash Classics
Alien vs. Predator|Shooter
All night nippon super mario bros|Sports
Allocation|Browser Classics
Also Geometry Dash Wave|Browser Classics
Also Steal A Brainrot|Browser Classics
Also Tag|Browser Classics
Alt Snow Rider|Racing
Altered Beast|Fighting
Amazing Strange Rope Police|Browser Classics
Ambulance Rush|Racing
Amidst The Sky|Browser Classics
Amigo Pancho 2|Flash Classics
Amigo Pancho 3|Flash Classics
Amigo Pancho 4|Flash Classics
Amigo Pancho 5|Flash Classics
Amigo Pancho 6|Flash Classics
Amigo Pancho 7|Flash Classics
Amigo Pancho|Flash Classics
Among Us|Browser Classics
Amorphous +|Browser Classics
An Ordinary Sonic rom Hack (sonic.exe)|Horror
Ancient Sins|Browser Classics
Angry Birds 2|Browser Classics
Angry Birds Online|Browser Classics
Angry Birds Showdown|Browser Classics
Angry Birds Slingshot Frenzy|Browser Classics
